replicate,pos,y_bin,median_intensity
replicate_5,pos6,4.0,395.56
replicate_5,pos6,5.0,365.9117647058824
replicate_5,pos6,6.0,324.3443888193575
replicate_5,pos6,7.0,301.9758358662614
replicate_5,pos6,8.0,312.42857142857144
replicate_5,pos6,9.0,275.3554237879316
replicate_5,pos6,10.0,254.781968031968
replicate_5,pos6,11.0,249.60416666666663
replicate_5,pos6,12.0,241.65840867992767
replicate_5,pos6,13.0,237.47789738891436
replicate_5,pos6,14.0,229.35
replicate_5,pos6,15.0,216.72727272727272
replicate_5,pos6,16.0,214.69731800766283
replicate_5,pos6,17.0,212.94736842105263
replicate_5,pos6,18.0,208.57692307692307
replicate_5,pos6,19.0,207.51558139534882
replicate_5,pos6,20.0,207.43722056631893
replicate_5,pos6,21.0,208.38983050847455
replicate_5,pos6,22.0,207.05
replicate_5,pos6,23.0,202.5084745762712
replicate_5,pos6,24.0,208.078125
replicate_5,pos6,25.0,205.01675824175823
replicate_5,pos6,26.0,215.33333333333337
replicate_5,pos6,27.0,215.79790842283774
replicate_5,pos6,28.0,222.57534246575344
replicate_5,pos6,29.0,229.83765938069217
replicate_5,pos7,0.0,332.3611111111111
replicate_5,pos7,1.0,354.0
replicate_5,pos7,2.0,411.075
replicate_5,pos7,3.0,430.18333333333334
replicate_5,pos7,4.0,468.2750455373406
replicate_5,pos7,5.0,420.5833333333333
replicate_5,pos7,6.0,378.7922240802676
replicate_5,pos7,7.0,413.72058823529414
replicate_5,pos7,8.0,399.0675675675675
replicate_5,pos7,9.0,353.91568396226415
replicate_5,pos7,10.0,324.4225352112676
replicate_5,pos7,11.0,318.32653061224494
replicate_5,pos7,12.0,324.5704022988506
replicate_5,pos7,13.0,304.7818181818182
replicate_5,pos7,14.0,268.40625
replicate_5,pos7,15.0,262.5474828375286
replicate_5,pos7,16.0,250.49180327868856
replicate_5,pos7,17.0,240.32258064516128
replicate_5,pos7,18.0,236.18020367610532
replicate_5,pos7,19.0,220.72706582633052
replicate_5,pos7,20.0,217.0185185185185
replicate_5,pos7,21.0,215.3169934640523
replicate_5,pos7,22.0,217.2343001261034
replicate_5,pos7,23.0,214.31280193236717
replicate_5,pos7,24.0,216.50980392156865
replicate_5,pos7,25.0,224.71153846153845
replicate_5,pos7,26.0,228.10869565217388
replicate_5,pos7,27.0,227.06151898734174
replicate_5,pos7,28.0,215.49253731343285
replicate_5,pos8,0.0,297.86041666666665
replicate_5,pos8,1.0,360.3555555555555
replicate_5,pos8,2.0,411.3776595744681
replicate_5,pos8,3.0,414.4347826086956
replicate_5,pos8,4.0,441.6276901004304
replicate_5,pos8,5.0,413.0610219594595
replicate_5,pos8,6.0,370.8375
replicate_5,pos8,7.0,324.3659673659673
replicate_5,pos8,8.0,345.8373983739837
replicate_5,pos8,9.0,343.0
replicate_5,pos8,10.0,299.1774926490243
replicate_5,pos8,11.0,291.86458333333337
replicate_5,pos8,12.0,281.54702329594477
replicate_5,pos8,13.0,276.64814814814815
replicate_5,pos8,14.0,254.17307692307693
replicate_5,pos8,15.0,239.71657633242995
replicate_5,pos8,16.0,223.1206395348837
replicate_5,pos8,17.0,224.74603174603175
replicate_5,pos8,18.0,223.01162790697674
replicate_5,pos8,19.0,212.8181818181818
replicate_5,pos8,20.0,216.40740740740745
replicate_5,pos8,21.0,227.0512771635532
replicate_5,pos8,22.0,219.71875
replicate_5,pos8,23.0,221.68126385809313
replicate_5,pos8,24.0,214.5194805194805
replicate_5,pos8,25.0,215.37313432835822
replicate_5,pos8,26.0,219.6428571428571
replicate_5,pos8,27.0,225.0776811594203
replicate_5,pos8,28.0,225.1517595307918
replicate_5,pos9,0.0,295.72222222222223
replicate_5,pos9,1.0,346.0388497652582
replicate_5,pos9,2.0,363.8611111111111
replicate_5,pos9,3.0,409.3771043771044
replicate_5,pos9,4.0,410.98591549295776
replicate_5,pos9,5.0,413.8064516129032
replicate_5,pos9,6.0,427.67207792207796
replicate_5,pos9,7.0,395.03478260869565
replicate_5,pos9,8.0,365.8536585365854
replicate_5,pos9,9.0,320.1636363636364
replicate_5,pos9,10.0,288.0308851224105
replicate_5,pos9,11.0,308.3488372093023
replicate_5,pos9,12.0,308.24746376811595
replicate_5,pos9,13.0,315.3
replicate_5,pos9,14.0,278.4130434782609
replicate_5,pos9,15.0,276.15856950067473
replicate_5,pos9,16.0,256.0851063829787
replicate_5,pos9,17.0,244.24
replicate_5,pos9,18.0,229.4310185185185
replicate_5,pos9,19.0,219.11175828176192
