replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos18,2,3.75,348.22972972972974,186.90013371876768,162.1259213759214,186.10380835380835,41.552024710016205,95.77580688815856
replicate_4,pos18,3,5.25,350.95081967213116,189.6212236611691,164.8470113183228,186.10380835380835,42.30293862559313,74.39284884098986
replicate_4,pos18,4,6.75,340.8837209302326,179.55412491927052,154.77991257642424,186.10380835380835,39.54307561901028,57.78386148330401
replicate_4,pos18,5,8.25,347.95021645021643,186.6206204392544,161.84640809640808,186.10380835380835,41.47510018788396,44.883005556853654
replicate_4,pos18,6,9.75,348.74422973698336,187.4146337260213,162.640421383175,186.10380835380835,41.69372155367096,34.86240164820561
replicate_4,pos18,7,11.25,289.50710108604846,128.1775050750864,103.40329273224012,186.10380835380835,26.14015381321633,27.079003146077895
replicate_4,pos18,8,12.75,271.9037725533078,110.57417654234575,85.79996419949947,186.10380835380835,21.75585715439413,21.033330370734802
replicate_4,pos18,9,14.25,242.7122950819672,81.38269907100513,56.60848672815885,186.10380835380835,14.623637882255895,16.337417743799605
replicate_4,pos18,10,15.75,222.96363636363637,61.634040352674305,36.85982800982802,186.10380835380835,9.820021874291475,12.689917090136792
replicate_4,pos18,11,17.25,212.80629539951576,51.47669938855368,26.702487045707414,186.10380835380835,7.317185798046833,9.856759389917928
replicate_4,pos18,12,18.75,207.75155279503105,46.42195678406899,21.6477444412227,186.10380835380835,6.05165047082334,7.6561339982994605
replicate_4,pos18,13,20.25,208.66197183098592,47.332375820023856,22.558163477177573,186.10380835380835,6.280967136261358,5.946821412576625
replicate_4,pos18,14,21.75,205.8,44.47040398903795,19.696191646191664,186.10380835380835,5.557646959775661,4.619130872003743
replicate_4,pos18,15,23.25,203.92857142857144,42.59897541760938,17.824763074763098,186.10380835380835,5.080358628209847,3.5878612339421374
replicate_4,pos18,16,24.75,203.47272727272727,42.143131261765205,17.368918918918922,186.10380835380835,4.963504584174554,2.7868334085765607
replicate_4,pos18,17,26.25,198.97692307692307,37.647327065960994,12.873114723114725,186.10380835380835,3.7955950372975247,2.164643485190697
replicate_4,pos18,18,27.75,199.12111801242236,37.791522001460294,13.01730965861401,186.10380835380835,3.8335608661553504,1.6813640177489069
replicate_4,pos18,19,29.25,190.2201142390861,28.890518228124023,4.11630588527774,186.10380835380835,1.3785919783706384,1.3059817832285365
replicate_4,pos18,20,30.75,193.75,32.420403989037936,7.646191646191653,186.10380835380835,2.386665245167218,1.014407587400946
replicate_4,pos18,21,32.25,187.35064935064935,26.021053339687285,1.2468409968410015,186.10380835380835,0.4801868644494275,0.7879304024405183
